Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),,,,,,,,,,,
HRM&EMP,Journal of Organizational Effectiveness,2,2,16,14,21,,45%,39%,15%,0.172,,,,,,,,,,,
HRM&EMP,Journal of Participation and Employee Ownership,2,,,,,,,,,,,,,,,,,,,,
HRM&EMP,Labor Studies Journal,2,2,46,41,43,,51%,0%,4%,0.738,,,,,,,,,,,
HRM&EMP,Labour and Industry: a journal of social and economic relations of work,2,2,,,,,74%,25%,15%,0.882,,,,,,,,,,,
HRM&EMP,Personnel Review,2,2,15,21,22,13,43%,42%,9%,0.144,,,,,,,,,,,
HRM&EMP,Relations Industrielles/Industrial Relations,2,2,28,,,67%,38%,27%,1,,,,,,,,,,,,
HRM&EMP,Sociologie du Travail,2,2,44,30,42,29,41%,25%,75%,0.135,,,,,,,,,,,
HRM&EMP,Transfer,2,2,23,20,20,14,73%,42%,22%,4.214,,,,,,,,,,,
HRM&EMP,Work in the Global Economy,2,,,,,,,,,,,,,,,,,,,,
HRM&EMP,Work Aging and Retirement,2,2,2,11,7,4,36%,37%,22%,0.594,,,,,,,,,,,
HRM&EMP,Zeitschrift für Personalforschung,2,2,36,43,37,,25%,42%,12%,0.176,,,,,,,,,,,
HRM&EMP,Advances in Industrial and Labor Relations,1,1,49,36,49,,76%,0%,0%,0.571,,,,,,,,,,,
HRM&EMP,African Journal of Employee Relations,1,,,,,,,,,,,,,,,,,,,,
HRM&EMP,Australian Journal of Labour Economics,1,,,,,,,,,,,,,,,,,,,,
HRM&EMP,Economic and Labour Relations Review,1,1,28,28,24,23,85%,39%,14%,1.71,,,,,,,,,,,
HRM&EMP,Evidence-based HRM,1,1,32,31,32,,44%,33%,8%,0.404,,,,,,,,,,,
HRM&EMP,Indian Journal of Labour Economics,1,1,50,45,48,,92%,20%,16%,0.627,,,,,,,,,,,
HRM&EMP,Industrial and Commercial Training,1,1,29,33,38,,48%,10%,12%,0.058,,,,,,,,,,,
HRM&EMP,International Journal of Comparative Labour Law and Industrial Relations,1,1,41,44,46,,83%,38%,10%,0.108,,,,,,,,,,,
HRM&EMP,International Journal of Employment Studies,1,,,,,,,,,,,,,,,,,,,,
HRM&EMP,International Journal of Learning and Intellectual Capital,1,1,34,42,41,,67%,23%,17%,0.019,,,,,,,,,,,
HRM&EMP,Journal of Work-Applied Management,1,1,,,,,68%,30%,12%,0.123,,,,,,,,,,,
HRM&EMP,Labour,1,1,43,39,35,,74%,20%,24%,2.16,,,,,,,,,,,
HRM&EMP,Management and Labour Studies,1,1,44,50,50,,53%,11%,12%,0.085,,,,,,,,,,,
HRM&EMP,Research in Personnel and Human Resources Management,1,1,27,29,14,,31%,15%,3%,0,,,,,,,,,,,
HRM&EMP,SA Journal of Human Resource Management,1,1,42,40,47,,61%,10%,9%,0.046,,,,,,,,,,,
HRM&EMP,South Asian Journal of Human Resources Management,1,1,38,49,45,,72%,18%,10%,0.211,,,,,,,,,,,
HRM&EMP,Team Performance Management,1,1,33,34,36,,13%,28%,18%,0.055,,,,,,,,,,,
HRM&EMP,Work Organisation Labour and Globalisation,1,1,37,32,33,,52%,33%,16%,0.937,,,,,,,,,,,
IB&AREA,Journal of International Business Studies,4*,4*,1,1,1,1,35%,72%,11%,0.744,,,,,,,,,,,
IB&AREA,Journal of World Business,4,4,3,2,2,2,39%,70%,9%,0.583,,,,,,,,,,,
IB&AREA,African Affairs,3,3,10,3,4,10,58%,55%,13%,1.933,,,,,,,,,,,
IB&AREA,Asia Pacific Journal of Management,3,3,6,9,9,4,52%,66%,7%,0.108,,,,,,,,,,,
IB&AREA,International Business Review,3,3,4,4,6,3,37%,61%,8%,0.32,,,,,,,,,,,
IB&AREA,Journal of Common Market Studies,3,3,8,6,3,11,36%,49%,9%,1.929,,,,,,,,,,,
IB&AREA,Journal of International Business Policy,3,2,,7,6,,76%,54%,8%,4.857,,,,,,,,,,,
IB&AREA,Journal of International Management,3,3,5,8,5,5,41%,59%,8%,0.214,,,,,,,,,,,
IB&AREA,Management and Organization Review,3,3,17,23,12,9,47%,65%,9%,0.142,,,,,,,,,,,
IB&AREA,Management International Review,3,3,9,14,8,6,41%,64%,5%,0.065,,,,,,,,,,,
IB&AREA,Multinational Business Review,3,2,12,18,11,8,61%,60%,10%,0.476,,,,,,,,,,,
IB&AREA,Asia Pacific Business Review,2,2,27,37,33,19,59%,53%,14%,0.095,,,,,,,,,,,
IB&AREA,Asian Business and Management,2,2,19,28,24,16,51%,49%,11%,0.121,,,,,,,,,,,
IB&AREA,China Quarterly,2,2,15,5,7,7,74%,64%,7%,0.717,,,,,,,,,,,
IB&AREA,Critical Perspectives on International Business,2,2,28,30,30,,67%,54%,8%,0.15,,,,,,,,,,,
IB&AREA,Cross Cultural and Strategic Management,2,2,12,21,17,14,44%,55%,12%,0.043,,,,,,,,,,,
IB&AREA,Eurasian Geography and Economics,2,2,11,10,14,15,73%,57%,16%,0.576,,,,,,,,,,,
IB&AREA,EuroMed Journal of Business,2,1,14,19,22,,58%,51%,13%,0.057,,,,,,,,,,,
IB&AREA,Europe-Asia Studies,2,2,31,15,18,22,44%,40%,10%,0.333,,,,,,,,,,,
IB&AREA,European Journal of International Management,2,2,26,34,19,18,38%,49%,9%,0.036,,,,,,,,,,,
IB&AREA,Journal of Business Economics and Management,2,2,22,29,27,17,53%,33%,17%,0.072,,,,,,,,,,,
IB&AREA,Journal of Latin American Studies,2,2,45,11,32,24,64%,62%,9%,0.341,,,,,,,,,,,
IB&AREA,Journal of Modern African Studies,2,2,36,17,16,23,59%,67%,15%,0.939,,,,,,,,,,,
IB&AREA,Journal of World Trade,2,2,43,33,25,27,70%,41%,12%,0.2,,,,,,,,,,,
IB&AREA,Review of African Political Economy,2,2,32,16,13,21,67%,46%,12%,0.827,,,,,,,,,,,
IB&AREA,Third World Quarterly,2,2,16,7,10,13,72%,49%,11%,1.12,,,,,,,,,,,
IB&AREA,Thunderbird International Business Review,2,2,21,25,20,,57%,59%,19%,0.209,,,,,,,,,,,
IB&AREA,Academia Revista Latinoamericana de Administracion,1,1,40,39,43,25,58%,39%,12%,0.038,,,,,,,,,,,
IB&AREA,African Journal of Economic and Management Studies,1,,34,32,40,,87%,29%,15%,0.146,,,,,,,,,,,
IB&AREA,Asia Pacific Management Review,1,,17,13,21,,39%,22%,11%,0.036,,,,,,,,,,,
IB&AREA,Asia-Pacific Journal of Business Administration,1,1,30,27,36,,65%,32%,7%,0.021,,,,,,,,,,,
IB&AREA,Chinese Management Studies,1,1,35,40,39,20,67%,33%,9%,0.021,,,,,,,,,,,
IB&AREA,Competitiveness Review,1,1,24,26,23,,70%,31%,10%,0.232,,,,,,,,,,,
IB&AREA,Foreign Trade Review,1,1,47,36,29,,89%,26%,11%,0.146,,,,,,,,,,,
IB&AREA,Global Business and Economics Review,1,1,51,50,49,,59%,31%,15%,0.01,,,,,,,,,,,
IB&AREA,International Journal of Business and Emerging Markets,1,1,54,52,50,,47%,36%,16%,0,,,,,,,,,,,
IB&AREA,International Journal of Cross Cultural Management,1,1,32,35,35,,39%,48%,23%,0.032,,,,,,,,,,,
IB&AREA,International Journal of Emerging Markets,1,1,25,20,28,12,76%,39%,13%,0.1,,,,,,,,,,,
IB&AREA,International Journal of Export Marketing,1,,,,,,,,,,,,,,,,,,,,
IB&AREA,International Journal of Indian Culture and Business Management,1,,,,,,,,,,,,,,,,,,,,
IB&AREA,International Trade Journal,1,1,39,41,46,,58%,42%,11%,0.21,,,,,,,,,,,
IB&AREA,Journal for International Business and Entrepreneurship Development,1,1,50,45,47,,56%,55%,16%,0,,,,,,,,,,,
IB&AREA,Journal of African Business,1,1,7,12,15,,80%,37%,18%,0.317,,,,,,,,,,,
IB&AREA,Journal of Asia Business Studies,1,1,29,24,26,,71%,32%,13%,0.034,,,,,,,,,,,
IB&AREA,Journal of Asia-Pacific Business,1,1,43,44,42,,55%,28%,12%,0.067,,,,,,,,,,,
IB&AREA,Journal of Chinese Economic and Business Studies,1,1,42,38,38,,90%,52%,14%,0.4,,,,,,,,,,,
IB&AREA,Journal of East European Management Studies,1,1,47,46,44,26,47%,37%,18%,0.019,,,,,,,,,,,
IB&AREA,Journal of East-West Business,1,1,37,42,41,,61%,45%,11%,0.145,,,,,,,,,,,
IB&AREA,Journal of Transnational Management,1,1,46,43,45,,53%,40%,21%,0.015,,,,,,,,,,,
IB&AREA,Latin American Business Review,1,1,53,51,51,,62%,16%,12%,0.077,,,,,,,,,,,
IB&AREA,Management Research,1,1,38,47,34,,52%,31%,12%,0.107,,,,,,,,,,,
IB&AREA,Review of International Business and Strategy,1,1,20,22,31,,54%,40%,6%,0.06,,,,,,,,,,,
IB&AREA,Revista de Gestão,1,,23,,,57%,10%,17%,0.097,,,,,,,,,,,,
IB&AREA,South African Journal of Business Management,1,1,47,48,48,28,60%,21%,8%,0.019,,,,,,,,,,,
IB&AREA,South Asian Journal of Macroeconomics and Public Finance,1,,52,49,52,,93%,22%,27%,0.267,,,,,,,,,,,
IB&AREA,Transnational Corporations Review,1,1,41,31,37,,82%,37%,15%,0.156,,,,,,,,,,,
INFO MAN,Information Systems Research,4*,4*,23,23,3,13,18%,49%,9%,0.27,,,,,,,,,,,
INFO MAN,Journal of the Association for Information Systems,4*,4*,28,26,10,20,21%,53%,12%,0.139,,,,,,,,,,,
INFO MAN,MIS Quarterly: Management Information Systems,4*,4*,2,2,1,1,17%,54%,8%,0.223,,,,,,,,,,,
INFO MAN,European Journal of Information Systems,4,4,12,17,14,16,22%,52%,10%,0.465,,,,,,,,,,,
INFO MAN,Information Systems Journal,4,4,5,10,7,11,29%,58%,10%,0.451,,,,,,,,,,,
INFO MAN,Journal of Information Technology,4,4,10,7,11,12,22%,51%,16%,0.5,,,,,,,,,,,
INFO MAN,Journal of Management Information Systems,4,4,13,15,4,10,21%,53%,10%,0.348,,,,,,,,,,,
INFO MAN,Journal of Strategic Information Systems,4,4,3,4,6,4,15%,54%,5%,0.414,,,,,,,,,,,
INFO MAN,Decision Support Systems,3,3,11,16,17,14,15%,40%,12%,0.082,,,,,,,,,,,
INFO MAN,Government Information Quarterly,3,3,7,6,15,7,75%,42%,15%,1.434,,,,,,,,,,,
INFO MAN,Information and Management,3,3,9,13,9,6,16%,55%,10%,0.132,,,,,,,,,,,
INFO MAN,Information and Organization,3,3,21,19,8,26,19%,50%,12%,0.819,,,,,,,,,,,
INFO MAN,Information Society,3,3,36,38,29,33,58%,45%,11%,0.752,,,,,,,,,,,
INFO MAN,Information Systems Frontiers,3,3,19,27,27,29,27%,41%,19%,0.229,,,,,,,,,,,
INFO MAN,Information Technology and People,3,3,45,46,33,31,37%,50%,8%,0.093,,,,,,,,,,,
INFO MAN,International Journal of Electronic Commerce,3,3,34,36,20,19,11%,42%,9%,0.113,,,,,,,,,,,
INFO MAN,Internet Research,3,3,17,28,19,15,21%,50%,9%,0.099,,,,,,,,,,,
INFO MAN,Journal of Computer-Mediated Communication,3,3,4,5,2,5,19%,29%,7%,0.45,,,,,,,,,,,
INFO MAN,Journal of the Association for Information Science and Technology,3,3,28,30,23,35,13%,40%,15%,0.232,,,,,,,,,,,
INFO MAN,AIS Transactions on Human-Computer Interaction,2,,,,,,,,,,,,,,,,,,,,
INFO MAN,Annual Review of Information Science and Technology,2,,,,,,,,,,,,,,,,,,,,
INFO MAN,Behaviour and Information Technology,2,2,44,53,44,47,28%,35%,16%,0.124,,,,,,,,,,,
INFO MAN,British Journal of Educational Technology,2,2,26,18,18,30,52%,30%,20%,0.376,,,,,,,,,,,
INFO MAN,Business & Information Systems Engineering,2,2,16,14,28,9,15%,34%,26%,0.361,,,,,,,,,,,
INFO MAN,Communications of the ACM,2,2,14,32,63,,12%,38%,26%,0.498,,,,,,,,,,,
INFO MAN,Communications of the Association for Information Systems,2,2,55,62,50,,23%,43%,18%,0.042,,,,,,,,,,,
INFO MAN,Computer Journal,2,2,66,68,66,62,9%,29%,26%,0.03,,,,,,,,,,,
INFO MAN,Computer Supported Cooperative Work,2,2,39,39,58,51,32%,34%,18%,0.456,,,,,,,,,,,
INFO MAN,Computers in Human Behavior,2,2,6,12,13,8,26%,31%,15%,0.432,,,,,,,,,,,
INFO MAN,Electronic Commerce Research,2,2,41,41,53,34,24%,38%,17%,0.102,,,,,,,,,,,
INFO MAN,Electronic Commerce Research and Applications,2,2,27,31,24,22,21%,37%,11%,0.086,,,,,,,,,,,
INFO MAN,Enterprise Information Systems,2,2,33,40,42,41,24%,44%,23%,0.051,,,,,,,,,,,
INFO MAN,Expert Systems,2,2,56,57,61,56,17%,31%,20%,0.006,,,,,,,,,,,
INFO MAN,Health Information and Libraries Journal,2,2,58,48,39,57,37%,16%,23%,0.433,,,,,,,,,,,
INFO MAN,Health Systems,2,2,65,72,65,,25%,16%,35%,0.097,,,,,,,,,,,
INFO MAN,Industrial Management and Data Systems,2,2,30,34,25,23,43%,49%,11%,0.055,,,,,,,,,,,
INFO MAN,Information Processing and Management,2,2,15,8,22,27,14%,36%,24%,0.072,,,,,,,,,,,
INFO MAN,Information Systems and e-Business Management,2,2,40,43,51,44,21%,27%,18%,0.098,,,,,,,,,,,
INFO MAN,Information Systems Management,2,2,51,49,48,42,27%,36%,15%,0.138,,,,,,,,,,,
INFO MAN,Information Technology for Development,2,2,37,37,36,37,88%,45%,18%,0.719,,,,,,,,,,,
INFO MAN,Interacting with Computers,2,2,59,55,69,61,17%,32%,21%,0.02,,,,,,,,,,,
INFO MAN,International Journal of Human Computer Studies,2,2,25,22,34,32,15%,31%,25%,0.159,,,,,,,,,,,
INFO MAN,International Journal of Information Management,2,2,1,1,5,2,31%,49%,16%,0.43,,,,,,,,,,,
INFO MAN,Journal of Computer Information Systems,2,2,43,47,40,48,19%,35%,10%,0.066,,,,,,,,,,,
INFO MAN,Journal of Documentation,2,2,62,42,38,58,25%,31%,12%,0.162,,,,,,,,,,,
INFO MAN,Journal of Enterprise Information Management,2,2,32,33,32,17,47%,41%,13%,0.088,,,,,,,,,,,
INFO MAN,Journal of Global Information Management,2,2,71,71,70,59,42%,52%,17%,0.022,,,,,,,,,,,
INFO MAN,Journal of Global Information Technology Management,2,2,67,69,64,54,51%,36%,11%,0.108,,,,,,,,,,,
INFO MAN,Journal of Information Science,2,2,35,32,43,46,12%,29%,17%,0.061,,,,,,,,,,,
INFO MAN,Journal of Systems and Software,2,2,24,20,35,40,6%,42%,24%,0.032,,,,,,,,,,,
INFO MAN,MIS Quarterly Executive,2,2,18,11,12,21,15%,43%,21%,0.074,,,,,,,,,,,
INFO MAN,Pacific Asia Journal of the Association for Information Systems,2,2,96,,,38%,36%,15%,0,,,,,,,,,,,,
INFO MAN,Requirements Engineering,2,2,31,21,41,49,12%,37%,25%,0.027,,,,,,,,,,,
INFO MAN,Scandinavian Journal of Information Systems,2,2,81,83,79,,30%,38%,17%,0,,,,,,,,,,,
INFO MAN,The Data Base for Advances in Information Systems,2,2,64,65,47,,11%,41%,10%,0.057,,,,,,,,,,,
INFO MAN,Aslib Journal of Information Management,1,1,57,59,46,53,27%,29%,10%,0.111,,,,,,,,,,,
INFO MAN,Australasian Journal of Information Systems,1,1,72,79,74,,28%,32%,16%,0.066,,,,,,,,,,,
INFO MAN,e-Service Journal,1,,,,,,,,,,,,,,,,,,,,
INFO MAN,Ethics and Information Technology,1,1,46,29,30,38,27%,26%,9%,0.892,,,,,,,,,,,
INFO MAN,Expert Systems with Applications,1,1,8,9,21,18,16%,32%,22%,0.043,,,,,,,,,,,
INFO MAN,Foundations and Trends® in Information Systems,1,,,,,,0%,67%,20%,0,,,,,,,,,,,
INFO MAN,Human-Computer Interaction,1,1,20,25,52,25,16%,41%,28%,0.257,,,,,,,,,,,
INFO MAN,Information and Computer Security,1,1,62,66,72,,21%,26%,12%,0.05,,,,,,,,,,,
INFO MAN,Information Research,1,1,79,67,63,64,22%,29%,18%,0.011,,,,,,,,,,,
INFO MAN,Information Resources Management Journal,1,1,83,88,84,,38%,23%,10%,0.011,,,,,,,,,,,
INFO MAN,Information Technology & Tourism,1,1,38,45,37,28,41%,37%,13%,0.217,,,,,,,,,,,
INFO MAN,Information Technology and Management,1,1,49,54,62,55,26%,52%,18%,0.037,,,,,,,,,,,
INFO MAN,International Journal of Business and Systems Research,1,1,89,89,85,,39%,27%,19%,0.015,,,,,,,,,,,
INFO MAN,International Journal of Business Information Systems,1,1,77,74,75,,36%,20%,15%,0,,,,,,,,,,,
INFO MAN,International Journal of Business Process Integration and Management,1,1,90,84,91,,21%,35%,22%,0,,,,,,,,,,,
INFO MAN,International Journal of Data Analysis Techniques and Strategies,1,1,86,81,83,,16%,8%,17%,0,,,,,,,,,,,
INFO MAN,International Journal of Digital Strategy Governance and Business Transformation,1,,,,,,,,,,,,,,,,,,,,
INFO MAN,International Journal of e-Business Research,1,1,76,85,81,,39%,30%,,,,,,,,,,,,,
